id,indexs,stock,spread,,,,,,,,,,,,
233,10904,2.78,3922.302158,,,,,,,,,,,,
234,10904,2.78,3922.302158,,,,,,,,,,,,
235,10901.5,2.78,3921.402878,,,,,,,,,,,,
236,10899,2.78,3920.503597,,,,,,,,,,,,
237,10899,2.78,3920.503597,,,,,,,,,,,,
238,10896.5,2.78,3919.604317,,,,,,,,,,,,
239,10896.5,2.78,3919.604317,,,,,,,,,,,,
240,10896.5,2.78,3919.604317,,,,,,,,,,,,
241,10896.5,2.78,3919.604317,,,,,,,,,,,,
242,10894,2.78,3918.705036,,,,,,,,,,,,
243,10891.5,2.78,3917.805755,,,,,,,,,,,,
244,10889,2.78,3916.906475,,,,,,,,,,,,
245,10889,2.78,3916.906475,,,,,,,,,,,,
246,10886,2.78,3915.827338,,,,,,,,,,,,
247,10886,2.78,3915.827338,,,,,,,,,,,,
248,10884,2.78,3915.107914,,,,,,,,,,,,
249,10886.5,2.78,3916.007194,,,,,,,,,,,,
250,10889,2.78,3916.906475,,,,,,,,,,,,
251,10889,2.78,3916.906475,,,,,,,,,,,,
252,10886,2.78,3915.827338,,,,,,,,,,,,
253,10881,2.78,3914.028777,,,,,,,,,,,,
254,10884,2.78,3915.107914,,,,,,,,,,,,
255,10881.5,2.78,3914.208633,,,,,,,,,,,,
256,10886,2.78,3915.827338,,,,,,,,,,,,
257,10884,2.78,3915.107914,,,,,,,,,,,,
258,10884,2.78,3915.107914,,,,,,,,,,,,
259,10884,2.78,3915.107914,,,,,,,,,,,,
260,10884,2.78,3915.107914,,,,,,,,,,,,
261,10881,2.78,3914.028777,,,,,,,,,,,,
262,10881,2.78,3914.028777,,,,,,,,,,,,
263,10866,2.78,3908.633094,,,,,,,,,,,,
264,10866,2.78,3908.633094,,,,,,,,,,,,
265,10866,2.78,3908.633094,,,,,,,,,,,,
266,10866.5,2.78,3908.81295,,,,,,,,,,,,
267,10871,2.78,3910.431655,,,,,,,,,,,,
268,10871,2.78,3910.431655,,,,,,,,,,,,
269,10874,2.78,3911.510791,,,,,,,,,,,,
270,10874,2.78,3911.510791,,,,,,,,,,,,
271,10874,2.78,3911.510791,,,,,,,,,,,,
272,10874,2.78,3911.510791,,,,,,,,,,,,
273,10874,2.78,3911.510791,,,,,,,,,,,,
274,10876,2.78,3912.230216,,,,,,,,,,,,
275,10876,2.78,3912.230216,,,,,,,,,,,,
276,10879,2.78,3913.309353,,,,,,,,,,,,
277,10876.5,2.78,3912.410072,,,,,,,,,,,,
278,10869,2.78,3909.71223,,,,,,,,,,,,
279,10866,2.78,3908.633094,,,,,,,,,,,,
280,10866,2.78,3908.633094,,,,,,,,,,,,
281,10866,2.78,3908.633094,,,,,,,,,,,,
282,10861,2.78,3906.834532,,,,,,,,,,,,
283,10861,2.78,3906.834532,,,,,,,,,,,,
284,10856,2.78,3905.035971,,,,,,,,,,,,
285,10856,2.78,3905.035971,,,,,,,,,,,,
286,10857.5,2.78,3905.57554,,,,,,,,,,,,
287,10856.5,2.78,3905.215827,,,,,,,,,,,,
288,10851,2.78,3903.23741,,,,,,,,,,,,
289,10851,2.78,3903.23741,,,,,,,,,,,,
290,10851,2.78,3903.23741,,,,,,,,,,,,
291,10851,2.78,3903.23741,,,,,,,,,,,,
292,10852.5,2.78,3903.776978,,,,,,,,,,,,
293,10852.5,2.78,3903.776978,,,,,,,,,,,,
294,10851,2.77,3917.32852,,,,,,,,,,,,
295,10851,2.77,3917.32852,,,,,,,,,,,,
296,10856.5,2.77,3919.314079,,,,,,,,,,,,
297,10856.5,2.77,3919.314079,,,,,,,,,,,,
